Source class,Source name,L (Jy kpc^2),vW (GHz s)
FRB,FRB 20121102,28629818181.818188,0.004619999999999999
FRB,FRB 20121102,24862736842.105267,0.005319999999999999
FRB,FRB 20121102,28629818181.818188,0.004619999999999999
FRB,FRB 20121102,41077565217.39131,0.0064399999999999995
FRB,FRB 20121102,9773627586.206896,0.012179999999999998
FRB,FRB 20121102,20245371428.57143,0.00392
FRB,FRB 20121102,9292957377.049181,0.008539999999999999
FRB,FRB 20121102,128834181818.18184,0.009239999999999998
FRB,FRB 20121102,47239199999.99999,0.0084
FRB,FRB 20121102,23619600000.0,0.0112
FRB,FRB 20121102,308752941176.4706,0.004284
FRB,FRB 20121102,358667999999.99994,0.00432
FRB,FRB 20121102,77920329896.90721,0.0038799999999999998
FRB,FRB 20121102,361482573913.0435,0.006900000000000001
FRB,FRB 20121102,365030181818.1819,0.00176
FRB,FRB 20121102,222699085714.28574,0.0028
FRB,FRB 20121102,438084201117.3184,0.0035800000000000003
FRB,FRB 20121102,197227636363.63635,0.005940000000000001
FRB,FRB 20121102,69130536585.36584,0.00492
FRB,FRB 20121102,750269647058.8235,0.00272
FRB,FRB 20121102,123721714285.7143,0.00336
FRB,FRB 20121102,81484867132.86713,0.006005999999999999
FRB,FRB 20121102,7681170731.707316,0.005166
FRB,FRB 20121102,10884608294.930876,0.006076
FRB,FRB 20121102,25813770491.803276,0.005124
FRB,FRB 20121102,53852688000.0,0.0028
FRB,FRB 20121102,826685999999.9999,0.0036000000000000003
FRB,FRB 20121102,222302117647.05884,0.003825
FRB,FRB 20121102,858894545454.5455,0.00099
FRB,FRB 20121102,154601018181.81815,0.002475
FRB,FRB 20121102,124313684210.5263,0.00342
FRB,FRB 20121102,1574640000000.0,0.000135
FRB,FRB 20121102,609538064516.1292,0.001395
FRB,FRB 20121102,347347058823.52936,0.0061200000000000004
FRB,FRB 20121102,147622500000.0,0.00864
FRB,FRB 20121102,192813061224.4898,0.00441
FRB,FRB 20121102,99450947368.42107,0.004274999999999999
FRB,FRB 20121102,449897142857.1429,0.00189
FRB,FRB 20121102,726756923076.923,0.00351
FRB,FRB 20121102,1259712000000.0002,0.0006749999999999999
FRB,FRB 20121102,699840000000.0,0.0024300000000000003
FRB,FRB 20121102,766041081081.081,0.00333
FRB,FRB 20121102,320265762711.86444,0.00354
FRB,FRB 20121102,699840000000.0,0.0016200000000000001
FRB,FRB 20121102,550359611650.4854,0.001442
FRB,FRB 20121102,2983528421052.632,0.00026599999999999996
FRB,FRB 20121102,755827200000.0,0.00035
FRB,FRB 20121102,629856000000.0001,0.00042
FRB,FRB 20121102,17228414117647.059,0.00047599999999999997
FRB,FRB 20121102,1828614193548.387,0.00043400000000000003
FRB,FRB 20121102,4330260000000.0005,0.000336
FRB,FRB 20121102,659151627906.9768,0.000602
FRB,FRB 20121102,1417175999999.9998,0.00028
FRB,FRB 20121102,3696980869565.2173,0.000322
FRB,FRB 20121102,4049074285714.2856,0.00019600000000000002
FRB,FRB 20121102,539876571428.57153,0.00049
FRB,FRB 20121102,3334531764705.882,0.00023799999999999998
FRB,FRB 20121102,3633784615384.615,0.00026000000000000003
FRB,FRB 20121102,2361960000000.0,0.00032
FRB,FRB 20121102,314928000000.00006,0.0006
FRB,FRB 20121102,236196000000.0,0.0008
FRB,FRB 20121102,3633784615384.615,0.0008449999999999999
FRB,FRB 20121102,379812663316.58295,0.0027860000000000003
FRB,FRB 20121102,19245600000.0,0.00756
FRB,FRB 20121102,32704061538.461533,0.0036399999999999996
FRB,FRB 20121102,31492800000.0,0.00588
FRB,FRB 20121102,35429400000.0,0.00336
FRB,FRB 20121102,34355781818.181816,0.0061600000000000005
FRB,FRB 20121102,69284160000.0,0.0021
FRB,FRB 20121102,35197835294.11765,0.007139999999999999
FRB,FRB 20121102,25306714285.714287,0.00784
FRB,FRB 20121102,31492800000.0,0.00294
FRB,FRB 20121102,38826739726.0274,0.0010220000000000001
FRB,FRB 20121102,62985600000.0,0.0084
FRB,FRB 20121102,33067440000.000004,0.0028
FRB,FRB 20121102,62985600000.0,0.004619999999999999
FRB,FRB 20121102,62293450549.450554,0.012739999999999998
FRB,FRB 20121102,24049047272.727272,0.0015400000000000001
FRB,FRB 20121102,44989714285.71429,0.00588
