Source class,Source name,L (Jy kpc^2),vW (GHz s)
Pulsar,J0901-4046,89.0e-6,0.4186
Pulsar,B0011+47,0.0099372,0.012418
Pulsar,B0021-72C,0.014406,0.000112
Pulsar,J0026+6320,0.18496,0.001134
Pulsar,B0031-07,0.0057024,0.007938
Pulsar,J0034-0534,0.000585844,0.000112
Pulsar,B0037+56,0.0120422,0.001708
Pulsar,J0045-7042,0.40396,0.00266
Pulsar,J0045-7319,1.10171,0.0028
Pulsar,B0052+51,0.00864,0.01022
Pulsar,B0059+65,0.007203,0.012558
Pulsar,B0105+65,0.00245025,0.00315
Pulsar,J0111-7131,0.220342,0.00182
Pulsar,B0114+58,0.00137388,0.000574
Pulsar,J0131-7310,0.550854,0.000672
Pulsar,J0134-2937,0.00760416,0.00091
Pulsar,B0136+57,0.0384197,0.000728
Pulsar,B0138+59,0.03042,0.004886
Pulsar,B0144+59,0.00766101,0.00098
Pulsar,B0148-06,0.00484237,0.007966
Pulsar,B0149-16,0.00093615,0.002492
Pulsar,B0154+61,0.00492499,0.004676
Pulsar,J0205+6449,0.0004096,0.000322
Pulsar,B0203-40,0.0007744,0.00112
Pulsar,B0226+70,0.00151875,0.00476
Pulsar,B0254-53,0.0039675,0.00126
Pulsar,B0301+19,0.0027075,0.008176
Pulsar,B0320+39,0.00199809,0.005978
Pulsar,B0329+54,0.228091,0.000924
Pulsar,B0331+45,0.00346112,0.000854
Pulsar,B0339+53,0.00184512,0.006286
Pulsar,J0343-3000,0.00443556,0.00672
Pulsar,B0353+52,0.0425085,0.00175
Pulsar,B0355+54,0.02783,0.000546
Pulsar,B0403-76,0.0315,0.00252
Pulsar,B0402+61,0.026047,0.002576
Pulsar,B0410+69,0.00123245,0.000616
Pulsar,J0421-0345,0.00477405,0.0035
Pulsar,J0437-4715,0.0036352,0.00013566
Pulsar,J0448-2749,0.00576583,0.0014
Pulsar,J0449-7031,0.323905,0.001106
Pulsar,B0447-12,0.00962361,0.00266
Pulsar,J0451-67,0.115681,0.00077
Pulsar,B0450-18,0.0522559,0.004018
Pulsar,B0450+55,0.0081133,0.001134
Pulsar,J0456-7031,0.115681,0.00112
Pulsar,J0457-6337,0.00155585,0.00504
Pulsar,J0459-0210,0.000845,0.00224
Pulsar,B0458+46,0.007921,0.003178
Pulsar,J0511-6508,0.00329623,0.00168
Pulsar,J0519-6932,0.740355,0.000574
Pulsar,J0520-2553,0.00240818,0.00084
Pulsar,J0522-6847,0.439586,0.00168
Pulsar,B0523+11,0.0943718,0.002226
Pulsar,B0525+21,0.0467856,0.02597
Pulsar,B0529-66,0.694083,0.00336
Pulsar,J0532-6639,0.185089,0.00126
Pulsar,B0531+21,0.056,0.00042
Pulsar,J0534-6703,0.185089,0.0035
Pulsar,B0538-75,0.0140608,0.0105
Pulsar,J0538+2817,0.00410571,0.000378
Pulsar,B0540-69,0.0462722,0.00252
Pulsar,B0540+23,0.112784,0.000868
Pulsar,J0543-6851,0.508994,0.00812
Pulsar,J0555-7056,0.485858,0.00378
Pulsar,B0559-05,0.142129,0.001624
Pulsar,J0610-2100,0.0127238,2.8e-05
Pulsar,B0609+37,0.0088804,0.000742
Pulsar,J0613-0200,0.00032256,7.98e-05
Pulsar,B0611+22,0.0494287,0.000966
Pulsar,J0621+1002,0.00671536,0.001281
Pulsar,B0621-04,0.0366368,0.00728
Pulsar,B0626+24,0.0697885,0.001232
Pulsar,B0628-28,0.0025047,0.008148
Pulsar,J0633-2015,0.0122931,0.0084
Pulsar,J0636-4549,9.604e-05,0.00252
Pulsar,B0643+80,0.00454276,0.001946
Pulsar,J0656-2228,0.00192246,0.00224
Pulsar,B0656+14,0.00031117,0.002576
Pulsar,B0655+64,6.912e-05,0.00084
Pulsar,J0711-6830,0.00173056,0.000266
Pulsar,J0719-2545,0.0900987,0.00238
Pulsar,J0725-1635,0.00722779,0.000574
Pulsar,J0726-2612,0.00181202,0.00434
Pulsar,B0727-18,0.0147875,0.000826
Pulsar,J0729-1448,0.0133678,0.00175
Pulsar,J0733-2345,0.0103336,0.0028
Pulsar,J0737-2202,0.0086903,0.000882
Pulsar,J0737-3039A,0.002116,0.002002
Pulsar,J0737-3039B,0.00171925,0.00812
Pulsar,B0736-40,9.73287,0.00406
Pulsar,B0740-28,0.0535815,0.000756
Pulsar,J0746-4529,0.00652082,0.00546
Pulsar,J0749-4247,0.00334176,0.0028
Pulsar,J0751+1807,0.00123008,9.8e-05
Pulsar,B0751+32,0.00921984,0.001708
Pulsar,B0756-15,0.0276768,0.001064
Pulsar,B0808-47,0.484632,0.0021
Pulsar,B0809+74,0.001849,0.005796
Pulsar,J0818-3232,0.0072962,0.00294
Pulsar,B0818-13,0.0420175,0.003094
Pulsar,B0818-41,0.0294549,0.0189
Pulsar,J0820-3921,0.00766322,0.00616
Pulsar,J0821-4221,0.0659571,0.00238
Pulsar,B0820+02,0.0031104,0.002968
Pulsar,B0823+26,0.001296,0.000812
Pulsar,B0826-34,7.29e-05,0.1036
Pulsar,J0831-4406,0.0696827,0.000854
Pulsar,J0834-4159,0.0180248,0.000812
Pulsar,B0833-45,0.09251,0.000294
Pulsar,J0835-3707,0.00153317,0.000686
Pulsar,B0834+06,0.0020736,0.003346
Pulsar,B0835-41,0.287642,0.001246
Pulsar,J0838-2621,0.00415872,0.00098
Pulsar,J0838-3947,0.00741445,0.00798
Pulsar,B0839-53,0.120746,0.00322
Pulsar,B0840-48,0.0469278,0.001162
Pulsar,J0843-5022,0.0183322,0.000854
Pulsar,B0844-35,0.00552123,0.00308
Pulsar,B0853-33,0.00087846,0.003192
Pulsar,J0855-4644,0.019602,0.00105
Pulsar,J0855-4658,0.184856,0.00154
Pulsar,J0857-4424,0.037524,0.001386
Pulsar,J0900-3144,0.00255512,0.000112
Pulsar,J0901-4624,0.0255997,0.000714
Pulsar,B0903-42,0.011616,0.00294
Pulsar,B0904-74,0.272273,0.0028
Pulsar,J0905-4536,0.00632261,0.0049
Pulsar,J0905-5127,0.0772468,0.00126
Pulsar,B0905-51,0.0653092,0.00182
Pulsar,B0906-17,0.00127008,0.00133
Pulsar,B0906-49,0.431649,0.000392
Pulsar,B0917+63,0.00031205,0.00532
Pulsar,B0919+06,0.006048,0.00147
Pulsar,J0922-4949,0.0559192,0.000966
Pulsar,B0922-52,0.0346193,0.0021
Pulsar,B0923-58,0.0156868,0.00574
Pulsar,J0932-5327,0.00246037,0.00868
Pulsar,B0932-52,0.010092,0.0035
Pulsar,J0940-5428,0.0120337,0.000686
Pulsar,J0941-5244,0.00890669,0.00252
Pulsar,B0940-55,0.403225,0.00154
Pulsar,B0941-56,0.0185075,0.00098
Pulsar,B0940+16,0.00433664,0.009814
Pulsar,B0942-13,0.00028566,0.000966
Pulsar,J0945-4833,0.0028642,0.000644
Pulsar,B0950+08,0.0056784,0.00133
Pulsar,J0954-5430,0.0138384,0.00105
Pulsar,B0953-52,0.0222939,0.001092
Pulsar,J0957-5432,0.00882,0.000504
Pulsar,J1000-5149,0.00141151,0.00063
Pulsar,B0959-54,0.0807433,0.0021
Pulsar,J1001-5559,0.0099351,0.00238
Pulsar,J1001-5939,0.00195481,0.00546
Pulsar,J1002-5559,0.0364148,0.0035
Pulsar,B1011-58,0.174793,0.0014
Pulsar,J1012+5307,0.0008112,9.66e-05
Pulsar,J1012-5830,0.00228125,0.00434
Pulsar,J1013-5934,0.243471,0.001036
Pulsar,J1015-5719,0.0213452,0.00644
Pulsar,B1014-53,0.005125,0.001218
Pulsar,J1016-5819,0.00661676,0.000588
Pulsar,J1016-5857,0.039871,0.001092
Pulsar,B1015-56,0.402428,0.001022
Pulsar,B1016-16,0.00641574,0.004284
Pulsar,J1019-5749,0.72,0.00616
Pulsar,J1020-5921,0.00308898,0.00266
Pulsar,J1020-6026,0.126,0.00196
Pulsar,J1021-5601,0.00742605,0.00728
Pulsar,J1022+1001,0.00048,0.0001498
Pulsar,J1022-5813,0.18,0.00504
Pulsar,J1024-0719,0.000185394,8.26e-05
Pulsar,J1028-5819,0.00274234,2.24e-05
Pulsar,J1031-6117,0.108,0.0014
Pulsar,B1030-58,0.0495597,0.001078
Pulsar,J1032-5206,0.0033836,0.00294
Pulsar,J1034-3224,0.102941,0.00322
Pulsar,J1035-6345,0.0102652,0.001148
Pulsar,B1036-58,0.00466487,0.00224
Pulsar,J1038+0032,0.00111392,0.000294
Pulsar,B1039-19,0.0404496,0.008652
Pulsar,B1039-55,0.0299476,0.0035
Pulsar,J1043-6116,0.301428,0.00098
Pulsar,J1045-4509,0.0314928,0.0001148
