Source class,Source name,L (Jy kpc^2),vW (GHz s)
RRAT,J0410-31,0.122727,0.0252
RRAT,J0627+16,1.536,0.00042
RRAT,J0628+09,0.53125,0.014
RRAT,J0735-62,0.4698,0.0196
RRAT,J0837-24**,6.1256,0.0014
RRAT,J0845-36*,0.0368,0.0028
RRAT,J0847-4316,3.025,0.042
RRAT,J0912-38,0.0432305,0.0084
RRAT,J0941-39,0.181888,0.0084
RRAT,J1014-48,0.922528,0.0294
RRAT,J1048-5838,3.3327,0.00518
RRAT,J1111-55**,2.5088,0.0224
RRAT,J1129-53,1.3448,0.0196
RRAT,J1135-49*,1.44991,0.0126
RRAT,J1216-50,1.3362,0.0126
RRAT,J1226-3223,1.1564,0.0364
RRAT,J1307-67,0.118482,0.0448
RRAT,J1308-67**,0.3888,0.0028
RRAT,J1311-59*,1.2493,0.0224
RRAT,J1317-5759,11.264,0.014
RRAT,J1404-58**,5.0688,0.0056
RRAT,J1423-56,1.5717,0.0063
RRAT,J1424-56**,0.0861548,0.0308
RRAT,J1444-6026,8.47,0.028
RRAT,J1513-5946,7.9763,0.00462
RRAT,J1534-46,0.42875,0.014
RRAT,J1541-42*,0.500141,0.0056
RRAT,J1549-57,0.0909224,0.0056
RRAT,J1554-5209,28.35,0.0014
RRAT,J1610-17*,1.0143,0.007
RRAT,J1623-08,0.085805,0.007
RRAT,J1647-36,6.83823,0.01386
RRAT,J1649-46*,3.51135,0.0224
RRAT,J1652-4406,2.8224,0.0896
RRAT,J1653-2330,5.2,0.000728
RRAT,J1703-38,5.1984,0.0126
RRAT,J1707-44,25.8118,0.01694
RRAT,J1709-43*,4.57277,0.0042
RRAT,J1724-35,5.8482,0.00826
RRAT,J1727-29**,0.4624,0.01008
RRAT,J1753-38,6.3202,0.0035
RRAT,J1753-12,0.5476,0.0196
RRAT,J1754-30,0.7744,0.0224
RRAT,J1807-25,22.4516,0.0056
RRAT,J1819-1458,46.656,0.0042
RRAT,J1825-33,0.492804,0.0231
RRAT,J1826-1419,6.534,0.0028
RRAT,J1839-01,4.225,0.021
RRAT,J1840-1419,1.088,0.00364
RRAT,J1846-0257,6.76,0.0224
RRAT,J1848-12,2.592,0.0028
RRAT,J1850+15,0.64082,0.0084
RRAT,J1854+0306,15.1686,0.02212
RRAT,J1854-1557,1.0603,0.091
RRAT,J1909+06,0.39688,0.0021
RRAT,J1911+00,2.7225,0.007
RRAT,J1913+1330,21.1185,0.0028
RRAT,J1919+17,0.33708,0.14
RRAT,J1925-16,1.34189,0.014
RRAT,J1928+15**,9.8568,0.007
RRAT,J1946+24,1.86749,0.0084
RRAT,J2033+00,0.727776,0.0532
