Source,vW (GHz s),L (Jy kpc^2)
SN1980K,34072796.3558976,1059296.6286218232
SN1993J2,16646509.169798402,15669879.200000001
SN1988Z,212238465.8342544,188115462.43288535
SN1998bw,10886172.4097424,495722720.00000006
SN2011dh,10555296.7919616,6070502.8
SN2003bg,6635254.7766672,231057200.0
SN2003L,18448187.7288384,424305040.00000006
SN2008ax,7050225.525926399,4285060.800000001
SN1994I,4047813.9742896003,15648874.0
SN2008iz,29344263.1113168,27726864.0
SN2004cc,3673379.1092659202,18248267.5
SN2008ax,18373081.7306448,2856707.2
SN2004gq,8767610.46612,82970540.0
SN2004dk,3687229.7938368,27516812.0
SN1998bw,2186989.057872,733081480.0
