Source,vW (GHz s),L (Jy kpc^2)
MAXIJ1836194,1263573.1026432002,36.549048
GX3394,80852.3124192,39.489776
Cir_X1,78903.63885312,21.322142366863915
XTE.J1748288,3715676.5252032,165.31092400000003
ScoX1,116619.3814608,1.9471820400000002
ScoX1,177294.70248480001,1.9702877600000002
LS5039,829007.295192,1.8253518800000001
GROJ165540,942091.5331296,95.363608
XTE_J1859+226,355463.0091072001,13.4635139972
GX13+1,61753.7103984,3.9489776
CygX-3,57625.3563984,205.62517510520001
ScoX1,98742.714768,1.58379208
CygX2,66794.42973599999,1.649824236772
LS5039,1406707.3740671999,1.80014564
SS433,1891312.9394112001,418.00348
SS433,6897224.533867201,237.35876
XTE.J1748288,4522115.419603201,51.672792
CygX-3,400381.31844000006,6024.902611320001
CICam_1,2509093.76979456,924.2288000000001
LSI61+303,3522395.5273036803,4.24042475
1915+105,923364.8797132801,307.20105
LSI61+303,1609706.2445567998,11.6841425
ScoX1,297539.74757376,9.28167275
LSI61+303,1549603.94236416,16.4103125
1915+105,312967.85660928,385.97055
LSI61+303,549038.73364992,3.00636925
CygX2,2696347.1645568,56.66387504969199
CygX2,1185608.27374848,23.858473705133424
LSI61+303,1897169.8531967998,6.3540730000000005
CygX-3,804698.5653273601,1819.4590354015988
LSI61+303,162197.78867712,5.133145750000001
LSI61+303,1122932.2028544,6.9054595
LSI61+303,718094.0454681601,5.02811975
LSI61+303,674454.1147776,23.630850000000002
SS433,461798.36902656,552.699325
SS433,4791742.24801536,325.58060000000006
LSI61+303,4774318.77141504,7.588128500000001
LSI61+303,1123886.4283008,9.754289750000002
CygX1,1688239.9831680001,1.211737475
GX17+2,2558065.06944,8.3233105
LSI61+303,1033223.72200704,6.656022750000001
LSI61+303,1899117.77499648,5.92084075
LSI61+303,1841951.01441024,10.0037265
SS433,1620645.4827187199,481.806775
LSI61+303,1923722.6678783998,6.9054595
SS433,1358162.3972505599,292.759975
LSI61+303,2012938.99227648,9.662392
SS433,5086589.87098368,544.822375
CygX1,4850659.443432961,1.05026
CygX1,566343.4954752,1.7723137500000001
CygX2,1554762.0439296,25.34962831170437
LSI61+303,2517997.4361216,4.4898615
LSI61+303,1527613.26395904,9.1635185
1748288,584294.0486399999,182.482675
GX17+2,3068199.9110016003,9.70177675
LSI61+303,1070538.6229862398,15.097487500000002
CygX-3,246996.36903168,6145.146229469097
GX17+2,1902722.48335872,11.09337125
LSI61+303,2639218.00808448,10.75203675
SS433,3816352.1115648,313.765175
1915+105,329630.4222336,569.7660500000001
aqlX1,3766819.07602944,12.015512658250001
